COMMUNITY,GENDER,P1_SCORE,P2_SCORE,P3_SCORE,TOTAL,REGNO,APPLICATION_NO
BC,FEMALE,126.25,120.25,116.25,362.75,9883315FDE7D27F099C3B702CB5A5BDD,01256A6061EEB75598D9F24F4D2FC7A7
BC,Female,131.5,104,109.5,345,9A38366202DDBD60CB199E81E334C114,7779381B66F66F3B194D87D9CA98A8F1
BC,Male,100.5,79.75,56,236.25,CAD8DE69780A19FA086EFF074183726B,BE67ED37D5C1143A227E05CEC9143034
BCM,Female,115.25,120.5,112,347.75,F1E563CA70095FA31D026162E157F200,D2B3971E217E7D0F67752D18C1E59639
SC,Male,115,90.25,89.5,294.75,371848CC98B466D25B81EBE72E8F4236,0E60BE4C984087AD4219803AA6D6BD94
SC,Female,121,105.25,110.75,337,0FC7734AABA0D0169B46F9BD0DFD3A51,6B16998FD6A49EABFF1F71D5BA10F82C
SCA,Male,108.25,78.75,60.75,247.75,AF5F9D4F65DAF5E66508E446DCD63CB8,ED9E3F7B3CAE2401614B0340DE42D904
SCA,Female,75.75,57,66.25,199,4142CB2C814E24E39DC069E705E60093,6E300F04BD47305D1ECFBF464D601E29
BC,Female,94.25,107.5,90.5,292.25,66F71BBFC53496790ABD1E4BD569B5EC,44BDC3EBCD789B5ABACA41EEF95AC7E2
SC,Female,88.75,25.25,36.25,150.25,E60811381F092E423D538E876F98B137,9E802409A6DFA04206F710F931AC2DAE
BCM,FEMALE,163.75,122.5,123.25,409.5,93F356462773BC9C759C7E2247B01F25,DA4EB27E1C07FDCD4A4C123C7B264E96
SCA,Male,100.5,100.5,96.5,297.5,308656C07E1AE31A4DF8347E9124D106,ED7C4896959AE3E11621E42E3FB504DE
BC,Male,108.75,78.5,87,274.25,450C380EB97FE207FA3E0B031111F3D4,5CFB8007E18674372231D033ABF0CDE7
BC,Male,57,69.25,59.75,186,AB0BD434B9D33A85A1B0C66B2BA88FDC,E74C8684B55E0EC5F9EB1BE704171417
BC,Male,99.75,88.25,91.5,279.5,D214620145136893FB67F579D5C7A846,6823EA009A45B0BD5CDA96FAE980F5BB
SC,Male,115.25,100,101.5,316.75,35658D40F87FA12E5DF8BCFB72758E11,DE085976E1848BCACE8360EBBA3482A8
BC,Female,166,142.5,131,439.5,A747BF33CA7973BC578E255719B3BEF6,066F76E912765058FD649C3B737EAC8E
BC,Male,119.75,88.5,104.25,312.5,D7F34039F8C035DBBA2033E7085F30F0,51CC27FBB5189BE51560B2FFF4234CD4
MBC/DC,Female,71.75,65.5,64.75,202,0E82A96C82EAD673113720E90A714E2B,0D285C47DB72E29C26C463C8C68F94C1
BC,Male,140,94.25,81.5,315.75,5263423273B215ED598AB15041A0759A,027F7BDC61E5FEEAC1603652275C442C
MBC/DC,Male,132,109.75,111.5,353.25,EDD65A18BC2EA3AA6DDC571304444A52,5535849AC538FB9675CE44F9B963C6FD
SC,Male,48,46.25,43,137.25,AF98676A4131B48BF6AB3EF74EEDB8E4,68C4D1B0D87BC8472716F603BD418B95
BC,Female,125.25,110,92,327.25,E2CA4778E7558E38A4E8EF1AFF7F5E56,438917EDD2CFD2BD1C19B354F840B848
BC,Male,122.25,114.5,95.75,332.5,AAEBBFEB8903144ECAFD9957215BB43D,C51404AC700CF27AAAAD6B69083345CB
BC,Male,101.75,62,66.75,230.5,9A946BE17D38398B25A38E23ACCA57A7,84CD1BB7C8999FCAC73BB906359AF786
BC,Male,117.5,93,95,305.5,BB954880A6F349FE888AE06B229B5B53,C42147A50D0B91BBFCFF97FC170594CE
BC,Female,138.75,115.75,110.25,364.75,EE642636B377611A39BBF9123C755A4B,B6F1DF3A781855A5D085D2AA736C7A84
BC,Female,143,127.75,107,377.75,7E39482083A23BE2CB9CF77A5C05B2B8,25626CDC613102A90CDD81DDDD943ED9
BC,Female,135,121,114.5,370.5,67F7D2311FB81119B149111D89EA1A43,2E4E9CE79F9A53C559589F3640820CE5
BC,Male,156.25,101.75,103.75,361.75,7C7062A8E2FF5B69ACF53887EC913AC1,795704EC4F0B847B34649AE6C5A3CD3C
BCM,Female,103.75,95.5,76.75,276,94EB597DEEC97B7D4D353221D0AD0E5E,2A40B7502230CF94C007AB3D8E38B883
BC,Male,125.75,109.5,92,327.25,1F89BD6304C91C1B1C02F910B2908DF3,873D9B18C94EF084B6D1F02C2BDDB024
MBC/DC,Male,148.25,113.75,100,362,67BBB2C08B5573D8A74B27E07E6D2C82,84E1A93BBF4F0CF615AD0D694C14933B
SC,Male,94.75,73.25,86.5,254.5,5974D358A1C076D603D657DD211F8ADB,845F56D8DD914DFFCAADA433EC87D20A
SC,Male,70.5,53.75,43.75,168,737C65658D343D51E956FD49C241B425,45629977CB96A15FA1BCA3AAF626DEC4
MBC/DC,Female,145,123.5,120.75,389.25,1CB3805BF72D873518083DF7038699BB,33A2A8DC77E69B039DB048C9C3882009
BC,Male,116.25,101.25,103.5,321,36490C5CC5583152BDFE6B6F5B70815F,7917CEA3A1E68D3158EF4B9643EFB4CF
SC,Male,92.75,91.75,91,275.5,5FF02F93F12F3839E604D0E51F727808,DEA963A2E8D4AD41C4B052F171E45A52
SC,Female,61.5,74.5,81.75,217.75,96166C114359567F46EC7D49B434CA88,10E0F4C53351C10C1B6E8A0532B94471
BC,Female,111.25,119,99.75,330,162A34462B02A826D2735DFC3C27F450,76B2A6215BA37F691F5AB1F4DB62F4F5
MBC/DC,FEMALE,68.25,50.75,47,166,B7927FB54AE0F9795368D55B01F236A9,8F485A44C4D5036EFA1EC216D176C609
MBC/DC,Female,100.25,77.75,94,272,626C13C549BAF4E0285D3B70BBC60066,8852AF772E0E1B672C249529C07BFBD3
SC,Male,79.5,48.5,47.25,175.25,406F7783A3FC738B10E26CDA78832FFA,629A63EAE853E8484DC17B61D7B5260C
MBC/DC,FEMALE,139.5,104.25,94.75,338.5,58A4710286609A139A04863D97179A26,C8D5F996331927706FF4D36B0F6BE410
MBC/DC,Male,132.25,130,112,374.25,7D1B53DD19FFC90A0167A4846F306E10,C01D25B52F669E7D2C962F287221A387
BC,Male,161.25,147.75,135,444,1F1ED1D2BC2AA99E4F5CEC48ED6E78DB,4AD3D395543AC183666F8948C1BB1AE2
MBC/DC,Male,101,75.25,64.25,240.5,503394C2868A6DCCAFF013D8601FD017,7E559D8C46C38344F64E87D6CF3D95CC
MBC/DC,Female,156.5,132.75,105,394.25,19AC79F28496A86900E75C897503BB74,3446420F6FACDD71AA339FDC8BFCBE7D
BC,Female,143.25,109.5,98.75,351.5,41B8B3DA9543166160D95D182FDA2B7D,F914D45860F669D9DDA7747839EA70B4
MBC/DC,Male,113.25,105.5,88.75,307.5,071E2C84CDC69F78F0D4D5D66D8B6387,D66BCDAFE99DB58DC26E2E00737D7069
SC,Female,112.5,106.25,91,309.75,74B61E6599ED1615CD09DFEDE7E83240,151BDD537402EAF99D31B695E8BDF005
SC,Female,118.75,111,95,324.75,59E3AE97908A5BC6CEAEBF3C1D47ACCD,52FE90C06EC2968B238B004DE36FF387
BC,Male,118.5,86.25,89,293.75,CF42E2365D9B74FED7A5EAB259479F58,F7A278943F6418BD4F26B41EC457B721
SC,Male,113.75,95.5,100.75,310,BD43B9217EACAA92729C56A50029EF0B,E116D9E5A8CC99F935E8DD59F60E5827
MBC/DC,Female,99,72.75,81,252.75,BFF210DE164B8D080DA5FD614C92E238,8D445948BBB84B2C66844F6CDCE6F48A
