COMMUNITY,GENDER,P1_SCORE,P2_SCORE,P3_SCORE,TOTAL,REGNO,APPLICATION_NO
MBC/DC,MALE,172,132.75,144.25,449,E2439E48D0FFCBB3E30198996BD9A97F,215EE7737700DC957A11844E540FF7B7
MBC/DC,Male,137.25,122.25,119.75,379.25,EBBC858F5DCA85E2D65393E7E24FEF33,4DD10F96DADB8B6481EA74C75C0D6DBF
SC,MALE,70.75,70.75,55.75,197.25,D8A279132B91E1507F441D86F7A93D96,9C31D73C260176C038FCCCA7577F7BE4
MBC/DC,Male,134,109.75,125.75,369.5,FA1932C900DE8A16218C65D05A253AE3,967519BFF8E0357B8BEB137300E70339
BC,MALE,147.75,118,127.25,393,C921C39DEBA9091359F21986D894A8EA,60E26920F2024F85C7B29175B8D1F3B5
SC,Male,129,87,90,306,B393A6A9507E233BDDF54D834F12D391,9A58F30780F8774FA7CA310387C74633
BC,Male,158.75,120.5,122,401.25,8C41919ED8B13FCE5C1DF8A75DC719E4,2A59153A46529AF8DF7ED58C907F0CF0
MBC/DC,Male,145,135.75,124.75,405.5,F92B064334101709DA6F79F89ADF651A,729290416B759BE9F699ADC983CE6B33
BC,Male,121.25,109.75,108.5,339.5,005677308BA6FB331B9E4E50928A2E14,928D7D03516BD6F43CB33DCDCF6FD386
MBC/DC,Male,137.5,117,105.25,359.75,7C7F915D274112B6D79CBC64CBBD42D3,394B4F974C8B16DB22253FEA95442A61
MBC/DC,Male,142,99.25,121.75,363,F69663820089386594F8D467B836C056,96761FACD67F5CFBE390ED88CB0903EA
BC,MALE,94.25,92,65.5,251.75,81FDED244D3614C80D19504EAFBCB17C,01EF2B171F129EE7087E01BCE4C477CF
BC,Male,78.75,38,34.25,151,087BF1DB370820A5CBE24DA14D9571CD,5A1BE943206A5716877624903F2793DB
SC,Male,139.5,96.5,124,360,251BC30A050900DBF1F3A83A45C0A2A0,F9BBE98F0C48ECC30C8B22274DCCA5AF
BC,Male,133.5,112,113,358.5,40E54205D7B95EF403E3986C0FDC8C16,B6B41AD2781F08C4385F3DAAA02F0167
BCM,Male,117.25,73,51,241.25,05FF00D8ACA1A12FD2980CC503961390,2F82164A459128AEC20E308A0944E225
BCM,Male,155,118.5,113.25,386.75,812CAB5574908BF18FD32A1F68020472,327ABA47BC6CCD207E3998198E47EF44
MBC/DC,Male,136,106.25,93,335.25,71C309EEA4C18CAC2DAF70C5828D91AC,FFAD47DA4B4B33CB7350C6E49EA18123
MBC/DC,Male,141.5,107.25,102.5,351.25,31508C1C1B3EFC2F03E3C773F85BD252,4162E38787A628F5AC5F511A87235850
MBC/DC,Male,145.5,114.25,116.75,376.5,436DDD97203A02FAF998C63D5F1E5AFB,7C921E55986D9B4E8F6987FF9B27F598
BC,MALE,128.75,104.5,107.75,341,C2E9006D031B2E229326F6B560EC7283,E172345D628E41948C4A1199AE0A1F9A
BC,Male,128.5,112.25,115.5,356.25,FAC1AD8C24E5996A9B4EDAF4CBE775AC,51887B2FF02D5846465789734A30469F
SCA,Male,106.75,90.75,95.75,293.25,B0D977849148A08C757FB3AAA2545ADE,5A3434FF4E9CEFBA7F0D65AC4D5FD599
BC,Male,118.75,114.25,105.25,338.25,AE91C19FBA437ED20681CF9163066521,8E114278A63F4B131F0C48C0C389453B
BC,Male,78.25,76.75,95,250,A96A17547D11435A19BC84590F4323C2,D1561F24B5A16C2CD512606840DD71F0
MBC/DC,Male,158,137.5,131.25,426.75,92DBC5DF9F0C1D93133A5F1B06E7D5F7,72E887597F58C17340D1279B7C8447FC
MBC/DC,MALE,147.5,108.5,120,376,E6746C5B20B59F1B24A2C10FD5CC5241,F71B44590611D666E73AD16FF1DAB83F
BC,MALE,74.75,52.5,72.25,199.5,83A78B2F2BC1817A4BA20130CA3B2160,3206879601AB3AF5B705C02FB21CBF93
BC,MALE,114.5,109.5,101.5,325.5,7BA52EE1C8FAC383D4D4924D32387588,06A82501F70BBB741FE4938800018868
MBC/DC,MALE,137,83.5,94.25,314.75,BFA437457C183909C98D246793F785A1,9FF2B33FAC0587777FBE5E38EDE19041
BC,Male,96,103,100.5,299.5,7C12A08EEC4EA3F307FFE21AFDD4ABF0,753C8A4463A072455755AD3ECE327B11
SC,MALE,71,52.5,47.75,171.25,1D06CBA68D322CAB73B1D8D1048C0F8E,741316B2E69F8E58F411618A4AAF521F
SC,Male,135.25,118.75,116.25,370.25,C252DD08BD29E2B6A1F0B9C475C6838B,11CEC7DFF866FAA49E02C3260D32045D
MBC/DC,Male,104.25,55.75,75.75,235.75,C6CEE8D42B424E81600B907EEEB4BB12,513B7C389AE0BEB7F5134E5B3759AEBC
MBC/DC,Male,105.75,76.75,111,293.5,BE6D651F1B7061CCA38E94E2D1147D54,4E99C7EB9E75819EEFF83FE2C1841B88
BC,Male,103.75,94.75,100,298.5,83A9A8D4259D49E80651A2AE30E69BC1,71FCF8A1737482D8DE39972544890537
BC,Male,111.75,,,111.75,22D2EAE27259E5DA0C64E43297974299,34351E2F47DC1BA0D45C929523EADFB6
MBC/DC,Male,96.75,69.25,91.5,257.5,262DCEE6499D0A6D5E3CC6B27AA8500A,9E03923E372F2DB377E58B3BB7637E37
BC,Male,150,105.75,132.5,388.25,339D482FEFAABA00C2A1183CCB908DCC,69EC43600AFDD8ED2428383AC3E0EF7A
BC,Male,142.25,124.75,125.25,392.25,0A1E90B38BBEE4666D8ADF3FE7A8F06A,D38ED439347722D0A14506436D4ACBD0
BC,MALE,135.5,92,115,342.5,3A771C2F7C88FFEDF08A3BA734B2E2AE,D3F9786DC033E586FEAF5752DB60C4B8
BC,MALE,135,107.75,115,357.75,2B4730D7BCB96D8B39B91E3C3726A6BC,89E431D955C68A0741D422C7C919BFD7
MBC/DC,Male,127.5,91.25,85,303.75,706AD1366927C23BE5589F0B5E6A39B1,E71820752029A3F634397C010CBE24C4
BC,Female,150.5,128.5,134.75,413.75,7C657B57F9377265AB24157C38968766,3111B21B25538EDFE47F0428EC7ACB5A
BC,Male,116,108,110,334,5AB2B495C89AA99EC17E79CC43BACF56,7CF0C9CF02B9A19451AE95207F57DF36
BC,Female,128.25,99.5,94.75,322.5,F109C168363EA7C4C184EBDEF46A613C,41D66259BA3F2375FAC35B180BA47D27
SC,Male,106.75,80.75,86,273.5,789CC744CE2908A96D0268305D6500A7,8DDD9D9E7DDA4B79F39243E79AE6288A
BC,MALE,142.75,115.5,95.25,353.5,C3A2754B719543D34C8457A65C4CAD71,BEF30A3905EEDAA34C953DE799B29471
BC,Female,158.75,142.5,131.25,432.5,135BEEF5C808429D0ED35592630BAF84,227599117EF71C5E05C2110AA81498C7
MBC/DC,Female,163.75,141,121.5,426.25,DAFE7CD96D39DD095D7070C9C0386151,924427CF863C04C2C18AF2C186B841C4
BC,Male,136.5,107,77.5,321,36558B3C3927FA6FF38D6A91675B6433,DD724C9B51FDA0FFD9C8329436DD0655
BCM,Female,124.5,106,112.25,342.75,2F76B34568083114A4D91D9C6401AAB3,FD44FBDC21868E0FDE62655EDD83AED0
BC,FEMALE,155.75,114.75,117.75,388.25,208F97CBC8ED77F3D4DBF6FBC05AE14E,1A6DBF366C90FB581F4CFD69443EF759
MBC/DC,FEMALE,172.5,121.75,131.5,425.75,607A731E3524827ED5FB3B84557AD864,022B0D1BF215D289E845498A99804D1E
SC,Female,111,124.75,118.25,354,DE631ADA6C8A6C304698B4C0D3993197,670A0170944D8BC0C73D8F28C91EB377
BC,Male,118.5,96.25,115,329.75,F9D4764AC394B98E22499CF9C60F7F8E,68D70F7FE371E02A027706036D0B3869
BC,Female,125,119.75,101,345.75,16F11E7596D8F1CDE345F4C4C566F227,4128F98105E75A4FCD632B2A10C14A6A
OTHERS,Male,137.5,121,124,382.5,8EA5A87B3402DA8F3DE30885E30EA7D9,8618D65D480000A2CE06ED1454F56D16
BC,MALE,93.5,81.5,88.75,263.75,DEDDEA04F55C7F2B2BB4C39C65274DA8,0944730D71AF8BC5239DEA23672F90EA
SC,Male,114.5,116.25,90.5,321.25,91CA19F0EA30F0B992EAD79763954F24,DA36ABEF437B9BC29F28921E12A6AEF7
SC,Male,153.5,106.25,110,369.75,12C48B79EF1EF0F1351462719384F477,6247D06E18EA8F9481A7F3ED0F0EEB6E
SC,Male,130.75,89.75,73.5,294,3E92D9B98F770392C6107E2CB474EA23,AB0B3696F0B0019B31DE914139AA47A6
MBC/DC,MALE,125,107.75,95.25,328,6AF3123ADA0FDADAF30DCE8F5FBF76A7,3E89A921A2FCA6409335BB827B52721B
MBC/DC,Female,139,129.75,122.25,391,1432E66A9C58D72AD372C79A66D8B9DC,D0E2797E53E430FDD793E41756911BF5
MBC/DC,Male,154,104,107.25,365.25,62AE03982B24318E22E3C2033DF68540,0F93D55D2F105F23D793DA2F9622CD05
BC,Male,120.5,109,102.25,331.75,D5C739E8791B0C4622971AD3736C569D,DA50ACAED83736A50E4CADC0EFD0EF41
BC,Female,161,135.25,136,432.25,82A37F9457452681A66D330D1CC9225E,330EFA55D09FB570B3E00FF0AD32FBC6
SC,FEMALE,147.5,125.25,131,403.75,EF0CCCC0A22572B0E73C260B8AB06ACA,981A56E1F39E6A7FC5DE08CF57B810CE
BCM,Male,63.25,35,,98.25,06923BF933977ED33047CA9BAFA8CEC9,B28F67A72FFD56616C90D40588DE5668
BC,Male,137.25,118.25,102.75,358.25,404190C67E100123C4080739794EFDB1,82CF4C63559AF2656B486BD396401218
OTHERS,Male,106.25,81,79.75,267,F5C7710143ED327831063334A47A73B8,47162F799A880EDD57046F1324231414
BC,Female,137.75,101.5,120.5,359.75,49EC6CF1061B2FA4CD8B6AEAADE5180A,47F18A8F9E72CE87432B74CB6A6F530E
BC,Female,167,149.5,153.5,470,5593908E8776E1B345259CB272C359A6,BF5BD2A43062BB0A496E4A7495399187
BC,Male,148.5,130.25,136,414.75,7A4DEC4ACC627B83A14DBB23837899AD,AC9CC70BA6721CB9F94D74D287A4BC30
MBC/DC,Male,165.75,124.25,131,421,E9F352D5E22123FC9E7E090877F617D5,B3C1D98AAA29FF689EAD8F83248D4631
SC,Male,144.25,126.25,133.75,404.25,532AD3D0DDDB2CC174943FFBBD40A729,873E63A08A1A8410E57829F824839FBE
BC,FEMALE,111.25,94.75,99,305,51EEB75804C5278A9899D8DFE362ACAB,791C5F43592C3973C96365406D2AE099
SC,Male,152.5,134.75,129.75,417,3C028D89C67F09773DF2C10BFB35C977,54420EB43FC4F49CC7A2A5BC6CFDEA8E
SC,Male,165.5,129.25,127.25,422,6D08E28C4604A87148D868225F51C013,4F2069ABA40B5224ADD55090AF75AD5A
MBC/DC,Male,104,104,113.5,321.5,857E9E3576069D3D0EE79640F5F8DFFD,483889AB565925A415EA9C281834628D
MBC/DC,Male,111.5,91.25,96,298.75,CCBC1E2DF7186120B8E12A6ACDAF6478,EA5683E7EC668BAD174C5D3E0B38935D
BC,Male,136.25,81.5,95.25,313,7646E2ED2D264A904BA0847C84FC3AC4,5CCCCC837710192F8E2C08B0892D6330
BC,Male,151.5,129.5,144.5,425.5,4AC02CD9904B7F8A46B2ED9F26F74BB7,F6BD8009115EE90D669119534FBEF03D
BC,FEMALE,128.5,120,122.75,371.25,77604EF30EC9CB8A85C705B62686ED8F,FA19DA7B0F19364112D93446348DB3E9
MBC/DC,Male,140,111.25,96.75,348,536D3BFA3C06FCAF16388AFFDA882C07,4CA0CA99441EFDC53E872E005409398E
MBC/DC,Male,126.25,109.5,93,328.75,79254A96017FC5BBB1ED6BBC17176E51,45CA55DA514C6B52D838C3DDB18790EE
SC,Female,142.75,111.25,134.25,388.25,D648E89F3CF8336B17C8B06A277B64B8,2DBBDE1D562E2C576DDE479D4CA6F741
BC,FEMALE,133,119.5,114.75,367.25,ECC137398AB8959CC2C1C8E990C0F640,586B07E0FFB5E98FC166F4425040164F
BC,Female,130.25,110.75,126.5,367.5,01807E3046542B6E507751959874BFBD,5BEB96B0BF6DB09B02D81B50992A4FE9
BC,Female,153.25,129.75,134.75,417.75,4116D581E71F8660EDADB05F965FE725,5A408B938691F752793AECDD27013D6E
SC,Female,118,87.25,85,290.25,BB35B7F9E908CC171500B67EFC67CC46,F1123482D1804334630CAF5A2F75D86F
SC,Female,123.5,116.25,118.5,358.25,881F11A6EB445BCE423A872D0647E37F,5EE8F2CBDB669EA79432790EE7348C62
MBC/DC,Male,81.25,47,30.25,158.5,BC5ADACCE78A4CA096F5E96A6A8A5A83,95FC008A00B01B0D0A084306E9899DE9
MBC/DC,Male,125.5,102.75,100,328.25,76F09C934568EB8DC01F51A52059B912,4E58CDFF2E5ABB5238EEB2ADC3B84541
BC,Male,130,32,,162,A015B63D2717CF03432E304F01C8168E,4BA7F9788807F639799D504D9FB1DED8
SC,Male,71.25,61,74.5,206.75,184583957E0059DFF9197DC4F58AEED6,0A5C7C7DA1F1FEA9F71313FC1432E969
MBC/DC,Male,146.5,119,114.75,380.25,79B87EF36236979DBA5FF65431C9DC4E,63EF399A85DD16758178FBF8BF85E7A8
SC,Female,151.5,119.25,134,404.75,DF1FB071BEF10BD74AF251DF38315472,5EAB6D151E813AD01D469742C698572C
MBC/DC,Female,141,115.75,98,354.75,4C4D00C92CD3788E61AB4D2FED425D89,DB227A447C34546D162D0AC3E2AA78E0
BCM,Female,123.5,100.5,118.5,342.5,E7AD96C0F9914C34AD6B3E32692D6A87,205E75D647094933008E83D3D8517D55
BCM,Female,97.75,82.75,96.25,276.75,2682906CB3D4CD526CFBC27F36EB1092,36DED35DBF06971257E41DF4286AD96E
BCM,Male,136.75,132.5,102.75,372,F87702967C216752004594C512214EF3,25A9FD1D29D5A3A066009D124BE8F8CF
OTHERS,Female,132.75,115.75,130.5,379,BCC47F40805864B9564FD8A34D9611BA,E1880BC29F44F275090228FE68F16206
MBC/DC,Male,116.25,95,84,295.25,C40E55E98296EADF4B458DD6C4BEF516,5E7AE7402D6568D80F89266552A57EC3
BC,Female,116.5,139.25,119.75,375.5,23968ABC06B020BE54CFB064DF1E2446,BB64C14DF50C8F321FDD6A225DFB47A6
MBC/DC,Male,114.75,113.75,108.75,337.25,A8847FF0CB2012DBBD3E5575590492F0,878B287B1553C49055646E3CC3A1EC8E
MBC/DC,Male,132,112,126.25,370.25,58499D09ADD0D0E506606E4AF0121B4F,3279FF8809834EAA69B81A60B61A4D08
BC,Female,113.25,99,90.75,303,56EEB3B7A9DAB741CBF6C10F7F195C77,BFDC08AC4A64F6DE880F50CE95D556B0
BC,Male,142.75,112.25,127.25,382.25,2C56B01E16CF18AE69DDA648F77C2AC4,4EA024159D05D124811AA525F1E5FE35
MBC/DC,Male,91.75,80,,171.75,3F9EFE77FB545457490CFFF4A55FBF1A,C6D03BFD5C35AF0E82ABD995DE3EA977
SC,MALE,73.25,74.25,85.75,233.25,60402571DA4614EDDFAE3E0D0BA219D0,E6A66D9F2561C497CD797F5499779401
BC,Female,129.75,125.5,118,373.25,E47468EC88EC0D17C331F2F89BAD13A5,16E3CD655EBED9BC7376282B784419AB
MBC/DC,Male,69,,,69,8761687CA05E3FD1FA6EF9C652E83B49,031AD274A86DE4614B07E6B0DF5F95B1
BC,FEMALE,147.5,125.5,127.5,400.5,9209A7639548DCBE2DEE4B37E800A9CE,8E462A794319E3E3B59E8752198D8728
SC,Female,141.5,117.75,118.5,377.75,C6DF8FE97E84E8DB03372668B249B2DE,06CBD99193B0F90714AB8B6236A6BE22
BC,Male,124.75,116.25,116.25,357.25,AB0E1199156CD74F888BABF9C149954A,61BBF29136B7C1881197AECAEF6945D9
MBC/DC,Male,74.75,,,74.75,5C63F873DFD1622B93FC4D5C321C8D4E,9C5E9FC83466E1281C745CC7E50845B3
MBC/DC,Male,133.75,107.25,121.75,362.75,E9D7E9FF8912BD348DE27E1ACBCDF5E8,DC3CDC839432C272C650730E72EB9A59
BC,MALE,122.5,116.75,115.5,354.75,6850B511405A9B7D207F317574980A54,D33F212D083C12DC4CD33B15AC217BAE
BC,Male,96.25,98.5,99.75,294.5,BBC3C9760A0C8D3FB47313F391805D44,2E8787C06331B6A15317E47DCDF09FB4
SC,Female,111.75,116.25,100.5,328.5,E16632A16F4FB0F82342FA9F5409B1A9,5A483489C428BC8DBA29B668C4823AE4
MBC/DC,Female,146.5,144.25,137,427.75,352C2953019B1F68AA15B419C8FB765B,E73661C2D23CBD37DCDEAFBB27374B40
SC,Male,80,76.5,88.25,244.75,C160585B35B01B5278F592184ED3CBF6,BD40A993EA550849B36DA1A1E0FBB7F4
BC,Female,95.5,85.25,102,282.75,75A598F434C812FE7E4BAAF1B975D9D6,CF6823F073555365ED7E2C524F8B32DC
BC,Female,138.5,127.75,146.25,412.5,A8657D9963FBE7C7F60682FC32952261,6503CF28CDD8F02C1B473383F2A1DF19
BCM,Male,99.5,89.25,88.75,277.5,001E8BFB50BA04106AB85B4F28391356,D7B7B5408665F7D77400CBEF0B93561D
BC,Male,93.5,90.25,93,276.75,E203FE79DBB316E49CD2BD9CE47C9795,0DD80D360DBBFF7F61A8D70771B0E32B
MBC/DC,Male,156.75,138.75,132.25,427.75,BCBC743B1752AF391D7792F59009AE7F,DFAF8C6E9A401007140DC802C225FD89
BC,Male,117.75,86.5,83,287.25,44EB06DC7F64F8002BFB2E9C866FEE25,8669FE1B13534DAEAE4DCAFA521195A5
MBC/DC,Female,146.75,122.5,118.5,387.75,6CFE7D03881768ABBBD1955CF069ADC8,6E8204675A5F745BD2412D7F2D771862
OTHERS,Male,134.25,115,98.5,347.75,3697594B51B77029258CD617AF92C544,F79FEA8781CF18E129431BA930A3D1EF
SC,Male,121.25,93.5,71.75,286.5,9D8BD3117E862A767463D0661F7B0461,8DF8A3388892CBBFB0DF5A8E4C2C0E54
SC,Male,63,74.5,65.25,202.75,D2001121A929C4AEA7BD39C75451216B,DAFA1F0B26994F52162CC1B3A88A14BE
BC,Female,125.5,80.75,86.25,292.5,ED1FB6D158C62CEC7B88641B1D706DB4,38E4D0E0FDE2DD32C5B44D15DD3A0864
BC,Male,150.75,132.75,117.5,401,381F1F7C058CE86ECE4B09B39836A697,1155BC9701C668FF4A3A1616B433485B
BC,Female,126,106,101.25,333.25,7CA672B9CE6A0C439B9E63FCC0CEED33,1E470952D93A0ACD96EF8E009411E82C
BC,MALE,140.5,113,116.25,369.75,9BBFD372B7D433E6EB7AEA5A60263CC4,16FB169D6E48522B4B557A28E41AEB2E
BC,Male,127.25,92,92,311.25,A816E5F3805C8B713E7B14B6AD0D09E4,A4A634294C2709DBCA55C1A04E74EF05
BC,Female,136.25,131.5,127,394.75,15BA4253746F0482A1F55D4E2685A598,69916818B44BE645CC1949C1CB89B5BA
BC,Male,141.25,119.75,118.5,379.5,595B1BC39FF8F3C78116BBF1B11D14B8,7DE83AC3A78A84BB99AA0995E3F8EEBD
MBC/DC,Female,117.25,90.5,92,299.75,1F1D995AE310307E408AFD1D6BC81249,9A7293174E7DD09EC9E6276E075DF72E
BC,Male,0,,,0,057A2FCEFC2CF758B2A792CEADC3F94E,7C50A534E616CA8052E91E46345C1E95
MBC/DC,Male,124.5,105.75,94,324.25,0536A7E3172520DE19ADA87A9FF076DC,9743ECFBF1D98F0E8D3D8D24DC787249
BC,Male,112.75,97.75,69.25,279.75,01E9EF11CD2C1BDB1BEB5F7B39B60BF5,131B8548AF676A738C9F6440FDAC9407
BC,Male,140.75,110.75,108.75,360.25,314BC54A82CBA4B849755CD204A8CB51,03DD6660110E9D5B9FDD03CC29688E01
BC,FEMALE,164.75,146.5,134.75,446,90E60C512B3AD99DE9EDCE6AD9A5CD6C,A725AF05832F2676B2DFF4685236ACC9
SC,Female,151.75,145,126,422.75,E1D8EBA49CD2F176E439765DEC1422EF,EB52CF4B710DA1FC8399857EF3DCD32B
MBC/DC,Male,143.5,102.5,103,349,F722A63878838B4EE6ED667EEA17C7ED,AC10A9D3D6A97B589725AD5A130D0123
SC,Male,121.25,106.75,101.75,329.75,6EDE7415058760537CB516DE564B569C,B89A3BFA0E9B174DD8AFA57AE910B87B
OTHERS,FEMALE,140.75,110,93.25,344,F37D9820D448AB07A5503BFC60840A85,FF22839DC69A9FCA4172B268F3760FBC
BCM,Female,111.75,119.25,107.75,338.75,84DE97F25FDBE995397AC9BF2A3C5002,83BACC95FE0380794F4E052C477EE2E1
BC,Male,78,89.75,90.25,258,3D8A3B2DFC51D8B5A9E8E82754F45EEA,DFD28F00A02A5966231C3EA04A9EA567
MBC/DC,Female,149.5,120,114,383.5,79724DB12DC466FBB84DA6C8329DD665,70EF476DED34EC7BF12AD2111BE17183
SC,Female,130,138.5,146.5,415,67300D0C5F653FB5486A5AAEAA34EF66,06CB8D6AB0DB29FE2069965A417EDC60
MBC/DC,Male,126.75,116.75,125.25,368.75,444CB9C34CAD7264B92B68595CE1B488,1A1FFDC0F09A1D4F1FBA3AE3A4C4FA4F
MBC/DC,FEMALE,135.5,129.5,136.75,401.75,40E0BBB7E2062AC6D44EF1D0FF47D9E7,05119D03CD835A849B3C2AD74236A65C
BC,Male,98.75,96,99.5,294.25,94E92F9ACA12733FFE3AE1105C35F4BB,FE698171DD14EB28853ECC83AC67F52C
SC,Female,157.75,135.25,140.5,433.5,033DD91AF10DBF54983B0C6817FB9D82,5C5595F93837580079417F09FEA6CA08
BC,Male,122.75,125.25,113,361,813413298F07A939489A8F2178995F41,F718C9C1E608A5A03920E7B555E00B44
BC,Male,151.5,115.75,129.75,397,A6CEF8BFAA02BDB43A4DC7C2DB6E5E5A,C438C73B38427A1FDB8CE5F371F73199
BC,Female,147,116,133.5,396.5,538847A512D52DEF9C1B8B44714672D8,F13780619499288F54DCB9A1A646B3F1
SC,Male,120.75,86.5,109.75,317,B7AC6688ABA30A59D2A2012B052450BA,D132558D852EA879DC5056BB9B12ED11
BC,Male,129.75,110.25,115.5,355.5,0E10C59101E0D0AD925EE5E7313D8D75,AFBA9D9BA22B27AFDAF2EF78CF9F335B
BC,Male,124.5,108.25,109.25,342,8C9D0B6A2D496B8ABDA7B62324B07F77,BB8D5E95DCAFC3F92FD0772E1B205704
MBC/DC,Male,136.75,100.75,109.25,346.75,5D11C13E17E3F62D3970C9CB2309ED4B,B001B4D3E0B4431DF84C8FB0F5BC10BA
BC,Male,122.5,98.75,113,334.25,93139AA0BF9825BA53CE69CBFC917FAB,12510B473FF1ED1C5791B86D452553D3
BC,Male,105,96.25,97,298.25,24ED9404C31B25A0007D7459E16486BA,960B6EB1805A01D83E75A42DCF40BA58
SC,MALE,131.5,106.25,95.5,333.25,FBEA0D44D7798C933D09CE4F8FDCC1BB,540E95C55C9F73823711D7BECC6863C2
BC,Male,66,65.5,54.75,186.25,064879647E604B6350B53DE224126959,4DE0E9E74DA024D7B97D8FE82D06AFFB
SC,Male,128,123,116.25,367.25,7A0C7E550F9FCF32E91163A3D7703217,C1E4140B2B3CD48B1EF6ADF88714EBD5
MBC/DC,Male,90.25,,,90.25,8B496AE178262CEDCDAEDDD79C2D2B06,79C80BDB1AB7577D2B496EFD62E76BFB
BC,Male,138.25,117.5,122,377.75,6A1DA7C8C1E05802AF8DF10ABCEFA3DE,D651DD921D8F821FFBBF31BB27838947
MBC/DC,MALE,86,70.25,72.25,228.5,13B2E9F1E01EEF7A5D5467DECAD781F0,2EA08C3CF392A3302A67304182830A0F
MBC/DC,Male,144.5,96.5,113.75,354.75,AFF8B73BE41DB6AA5EFEA35B24876D73,75A50FBB48FAF0CC7E6ACF3AC880841B
SC,Male,118,127,102.5,347.5,223FDA8540036F9B427DB9064EBE3362,FB89C785490F2E83EEE89E1B7543DDDF
SC,MALE,131.5,98,104.75,334.25,DA40AD1395A577CDBD00965AAD52C66D,CF789D8E77A0456625DDF52675DD9CAA
BC,Male,122.25,106,80.5,308.75,F82925B88945DCEBA564E6E9D5E34CC0,ACEABAF2BAE4B22A60FECFC75375EE3A
BC,Male,127.75,94,89.5,311.25,6A15342D61CF58D8924C1FE67271641C,D6E6A1D19EB3C744A44C960D1C0E50FF
MBC/DC,Male,96.75,98.25,88.75,283.75,B345E8EE3BC90E71D774047BDE48C869,93EF68AFA72703D951D3CC5E74F44C16
MBC/DC,MALE,100.25,100.5,78.75,279.5,70650A744C544CFAE0191312863B3886,A6E83CBED2BFD525FBC4BC66D5D2E04D
BC,Male,163.5,133,116,412.5,4BE1057D02A0DE1C3CCAEDFF274FF2F8,E16AA2808225B65C7F8F96E5DA6936C3
MBC/DC,Male,138.25,97.5,101.25,337,28C7A87890DC29D41F09517CD9C1924A,51B7C9F0EE885AD5588327CB562C8219
SC,Male,119.75,58.25,83.75,261.75,F14BB0AE34AA08BC9A1F63797CFD8F40,5AC25A2B51F1275CDFACDEDBC6B95A2D
BC,Male,92.5,91.25,79,262.75,DDE38CCD521599E1181183F9AD45A5A2,3ACA74606575B570BA1A2669550B3CAF
BC,Male,76.75,78,84.25,239,1815872AD5097181F0133FC70F353CC5,F2651419996F90004BD5B8FA3E0EC6BD
MBC/DC,Female,119.25,115.5,103.75,338.5,090D0F302A183F578BC37ABE9CBCD2B5,2CE235D807B204598C26CABBC8A7CFF5
MBC/DC,Female,87.25,64.25,71.75,223.25,ABB56E5F3D5A8AD963E8317C40AA3ED9,F93D8D7C719AF908B50795338CC6A5BC
BC,MALE,91.5,62.75,68.75,223,5ED958EFCD2B44649D3D2D6CA2ACF320,0229B58F5181D8F96F1ADD572A959300
BC,Male,128.75,131,129.75,389.5,E744FF02D9CA48C8684532D2375D2C52,266A78DC1F60582BBFBA3D8F35C622ED
MBC/DC,Male,131.25,95.5,93,319.75,C1FD1FB144E8AF992C17AA93C13F0DFB,24C11FB3CBC15EBEB34B37F6098DDB9B
BC,Female,94.25,110,97.75,302,AEF7E86100097D98426702B609CCC0C1,CF9F9291522369FD0A3A2804A4D73700
SC,Male,108.5,78.75,68.5,255.75,19FAD9FC75FD10D0F021B04684DB3A52,32007A948E65A731A6B380AE65EB2722
MBC/DC,Male,153,123.75,124.25,401,4C61BDB3431DA4D685B7B7DB0B334ADA,497C0703AC3488F9C24924D42ED8C514
BC,Female,121.75,128,117,366.75,79096A18B4426379D6C949B68101AA62,95417C0209AD83233CCA63B9CA58B31F
BC,Male,133.25,105.25,110,348.5,6BFED65E4E50EAE78F14D256BC932EB4,F0EBF23E79EB95D37C03BF7A8EA6B7E5
MBC/DC,Female,93.5,86,84.5,264,2C476A1DC4B74072556287432FA0CF46,F4DF26B260C676F46A19F28722713FB9
SC,Male,81,53.5,68.75,203.25,8C549C5C4727F1BF7C6B25E0AD9E3E14,D2679BF0162E84A3EBF5BBC4CD2DAC27
BC,Female,127.5,100.25,111.5,339.25,0249521F557BB31CF191202F514C3945,8E303AAAE64FCB0F220FF615C47DFBAE
MBC/DC,Male,152,122.5,130.25,404.75,7F5EF08632C867ED06C79125735A2124,488631F7CE1A617D62281AEE9FAAB294
SC,Male,76.25,105,97.5,278.75,953426FED5B18DA2F5A0FDCDD8FC8460,2EB85DC223ED411E2FE13890F44B285D
BC,Male,45,43.75,47.25,136,44644C9E1DC6703F9B6926207ADACC9C,3B5E6136F540026B9E43D3ACE811E913
BC,Male,111.5,126,131.75,369.25,A19E0994B30D70AA73C0E5E213013CC0,80913394C5E48C9C9A7A379F0062AD37
MBC/DC,Male,133.5,91.75,90.75,316,C362F70974C477A50AB3BAAFD032DDA5,DB43CB74802BD7E3DDC846D88656351C
SC,Male,95.75,42.75,,138.5,F2DAA82ED91921CC441BC0FA627AE774,B74CFC030303D31CCD87CB8B4E0A89A2
SC,MALE,139.25,123.25,118,380.5,830E386D9A4EFFB68964AAEF3B474670,D0A31A1AD06BF9F9A61E1AC89A520C0A
SC,Female,127.75,95.75,103.25,326.75,27FD1C014D8C30D51DB9E5EAA8070537,BE3D964ED8523A08AA31C9AA4A4EB94D
