NAME OF THE POST ,RANK(OVER ALL),MARKS ,GENDER,DATE OF BIRTH,RELIGION,COMMUNAL CATEGORY,DISABILITY,EXSERVICEMEN,DW,PSTM,SSLC YOP,HSC YOP,DIPLOMA YOP,DIPLOMA MAJOR,UG DEG YOP,UG DEG,UG MAJOR,UGL DEGEE,UGL MAJOR,BED/BLISC YOP,PG DEGREE YOP,PG DEGREE,PG MAJOR,MPHIL YOP,MPHIL MAJOR,PHD YOP,PHD MAJOR,TWT,TWE,SHT,SHE,EXPERIENCE,PREFERNTIAL QUALIFICATION ,QUALIFICATION PASSED IN TAMIL,EXAM CENTER,EXAM VENUE DETAILS ,DISTRICT AND STATE OF PERMANENT ADDRESS,DISTRICT AND STATE OF CORRESPONDENCE ADDRESS,COMMUNAL RANK,DISABILITY RANK,EXSERVICEMEN RANK ,DW RANK,SELECTION STATUS ,SELECTION CATEGORY,DEPARTMENT ALLOTTED,REGNO,APPLICATION_NO
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,1,569,FEMALE,1989,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2004,2009,NULL,NULL,2010,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"EVAANS MATRIC HIGHER SECONDARY SCHOOL,18 MARIAMMAN KOIL STREET,THARAMANI CHENNAI","Sivagangai,Tamil Nadu","Sivagangai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 1/4,NULL,D89EE8130066B77DFF77135E1E96ACD7,CF8FDC36BDC2F91FBE7DD476D81D7D30
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,2,550,FEMALE,1997,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2012,2014,NULL,NULL,2018,B.Sc.,Agriculture,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Dindigul,Tamil Nadu","Dindigul,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 2/4,NULL,6F9F0A84363F3A6C57F011ABA1858582,47C2462B073C113D70A1E48F23968252
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,3,548.5,FEMALE,1987,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2002,2004,NULL,NULL,2008,B.TECH.,Information Technology ,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SINGARAMPILLAI GIRLS HIGHER SECONDARY SCHOOL,NO.1 MOUNASAMY MADAM STREET,VILLIVAKKAM CHENNAI","Cuddalore,Tamil Nadu","Cuddalore,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 3/4,NULL,CDECEAD8E492116C082B92E5F0F40E5B,5640C188CC667A35D263785BCE9C2B9C
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,4,547,FEMALE,1994,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.TECH.,Bio technology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"DR. RATHINAVEL SUBRMANIAM MUTHIALPET GIRLS HSS,LINGI CHETTY STREET,CHENNAI","Virudhunagar,Tamil Nadu","Virudhunagar,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 4/4,NULL,3791FB240F90433EE040BD7E7B0B16B9,4917FE8FF0361447536AD8F5FA60D99D
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,5,541,FEMALE,1994,Muslim,BCM,NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,3 BHARATHIDASAN SALAI,THIRUVANMIYUR CHENNAI","Cuddalore,Tamil Nadu","Cuddalore,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 1/3,NULL,F2C410B4F6924D2A7E3CE318A1CFB027,7F29102ABFDA27B7DDD7B62F9FAFDBB4
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,6,540.5,FEMALE,1994,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 2/3,NULL,B91D2071498F50F06093078FDA8417A1,5A31EC6132200996E505B805F7D2B3E4
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,7,539.5,FEMALE,1996,Muslim,BCM,NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,CIVIL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Thiruvallur,Tamil Nadu","Thiruvallur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 3/3,NULL,6A56909BB70100AE8FF6C7C8635C971E,810CB5ECDCC96C2644FEBA416BBEC4F6
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,8,539,FEMALE,1993,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,3 BHARATHIDASAN SALAI,THIRUVANMIYUR CHENNAI","Erode,Tamil Nadu","Erode,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 1/2,NULL,10898F4703D644955B6978F039F9500D,FF6F8448E8ECD87A531862CE758890A7
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,9,538.25,MALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.TECH.,Information Technology ,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Namakkal,Tamil Nadu","Namakkal,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 2/2,NULL,2C3545562DC56DEBEF8FE9412AC470D7,6EB7DDDFF99B8AE044A412E20D24B223
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,10,537.75,MALE,1994,Hindu,SC,NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,MECHANICAL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,731 THIRUVOTTIYUR HIGH ROAD,NEW WASHERMEN PET CHENNAI","Tiruchirapalli,Tamil Nadu","Tiruchirapalli,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G- 1/1,NULL,9BA23A594B03F0BF4F109CA9D65607C6,E1F59AEAC251D3E57E77E0FCDDE9E571
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,11,537.5,FEMALE,1991,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,Agri. and irrigation Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CSI NORTHWICK GIRLS HR SEC SCHOOL,20 SHAIK MAISTHRI STRRET,ROYAPURAM CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_W- 1/3,NULL,5593908E8776E1B345259CB272C359A6,BF5BD2A43062BB0A496E4A7495399187
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,12,537,FEMALE,1990,Hindu,SC,NULL,NULL,NULL,NULL,2005,2007,NULL,NULL,2011,B.TECH.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"THE CHINTADRIPET HIGHER. SECONDARY SCHOOL,NO.2-3 DEPUTY MAYOR KABALAMURTHY ROAD,CHINTADRIPET CHENNAI","Namakkal,Tamil Nadu","Namakkal,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_W- 1/1,NULL,42AD6A36669D23EEF6845C76D031EEF6,FEA62AD2C10F82469D3DB9B31DE9E6DC
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,13,536.5,FEMALE,1995,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVERNMENT HIGHER SECONDARY SCHOOL,1ST MAIN ROAD,NANDHANAM CHENNAI","Kancheepuram,Tamil Nadu","Kancheepuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 1/3,NULL,CFCE16CEB577CEB0255FC123CC8C033D,B9D9747E18FF2EA361574C4267955634
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,14,533.25,FEMALE,1989,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2004,2006,NULL,NULL,2010,B.TECH.,Information Technology Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVT HIGHER SECONDARY SCHOOL,P BLOCK M M D A COLONY,ARUMBAKKAM CHENNAI","Madurai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 2/3,NULL,70C28B042CB8F57D8BD7C744A1D08247,076266A012AA9472ED3F6214E8BA4926
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,15,532.25,FEMALE,1989,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2004,2006,NULL,NULL,2010,B.TECH.,Information Technology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SREE VENKATESHWARAR MATRIC HR SEC SCHOOL,15 GOUDIA MUTT ROAD,ROYAPETTAH CHENNAI","Ramanathapuram,Tamil Nadu","Madurai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_W- 2/3,NULL,A363097EC46C45320251529997EA9E0E,7D01C5C45A457E42AD5544BCAD14C058
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,16,531.5,MALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MUSLIM HR SEC SCHOOL,278 TRIPLICANE HIGH ROAD,TRIPLICANE CHENNAI","Madurai,Tamil Nadu","Madurai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 1/15,NULL,3FE34C3EE37506F13A42A58B0A6C4E41,AB5BEA2D8496FD7757C836D358A76EAB
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,17,530.25,FEMALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,ELECTRONICS AND COMMUNICATION ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"JAI GOPAL GARODIA GOVT GIRLS HR.SEC.SCHOOL,CHOOLAIMEDU HIGH ROAD,CHOOLAIMEDU CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_W- 3/3,NULL,B77AA54C5B1F7AD7C5F04E73D1C3AD72,0F0E772AD459EA240A43F4791828653A
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,18,528,MALE,1996,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2012,2014,NULL,NULL,2018,B.E.,civil engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"LADY MCTM GIRLS HIGHER SECONDAY SCHOOL,ALAGAPPA ROAD,PURASWALKAM CHENNAI","Kancheepuram,Tamil Nadu","Kancheepuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 2/15,NULL,7C4C000F937F1EC52212A9209E9F2CE6,A750D049888CF169D1C5DC16CD1DDCCA
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,19,527.75,MALE,1993,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.TECH.,Information Technology ,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"ST JOHNS MATRIC HIGHER SECONDARY SCHOOL,NO.15 NEW COLONY,ALWARTHIRUNAGAR CHENNAI","Thiruvallur,Tamil Nadu","Thiruvallur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 3/3,NULL,E9FDC2EFDCA3D728F7E06B054AFBB170,7BDB55BDFE2132FCB16739680A8AC545
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,20,527.25,FEMALE,1991,Muslim,BCM,NULL,NULL,NULL,NULL,2006,2008,NULL,NULL,2012,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BCM_W- 1/1,NULL,C0652CE7A39E90CEE142EB079218371E,3A4B28CE4DBBCBBC508C9DA0C590A697
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,21,527.25,MALE,1995,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,civil engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"PRESIDENCY MODEL GIRLS HIGHER SECONDARY SCHOOL,GENGUREDDY STREET,EGMORE CHENNAI","Dindigul,Tamil Nadu","Dindigul,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 1/3,NULL,07A1E4574C9CB535880CD3295AB82C76,F8D7DC96B61D7F40A1B9DC024B9711AE
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,22,527,FEMALE,1993,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.TECH.,BIO TECHNOLOGY,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"JAI GOPAL GARODIA GOVT GIRLS HR.SEC.SCHOOL,CHOOLAIMEDU HIGH ROAD,CHOOLAIMEDU CHENNAI","Dindigul,Tamil Nadu","Dindigul,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 2/3,NULL,6ADBD14175AA6E56AF730C8247D8B342,A4C1E7B38FCB385EBBEBA14121709C4B
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,23,527,FEMALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"EVERWIN MATRIC HIGHER SECONDARY SCHOOL,12-3 S J AVENUE RED HILLS ROAD,KOLATHUR CHENNAI","Salem,Tamil Nadu","Salem,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 3/3,NULL,C5EF02F059CA630E97787E439EA0FCD5,4425FD65D05186B6677EE821FEAD8DB6
THE POST OF DISTRICT REGISTRAR IN THE TAMIL NADU REGISTRATION SERVICE,24,526,FEMALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,Aeronautical Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"ST JOHNS MATRIC HIGHER SECONDARY SCHOOL,NO.15 NEW COLONY,ALWARTHIRUNAGAR CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 1/1,NULL,A7B940C3C55F33A5E379CF361777F6A4,C7FF0D7036ED9AF8B69C3CECAE53BE04
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,25,525.5,FEMALE,1988,Hindu,SC,NULL,NULL,NULL,NULL,2003,2005,NULL,NULL,2009,B.TECH.,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"EVERWIN MATRIC HIGHER SECONDARY SCHOOL,12-3 S J AVENUE RED HILLS ROAD,KOLATHUR CHENNAI","Thoothukudi,Tamil Nadu","Thoothukudi,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 1/1,NULL,D50153162C5B27BF7131B125B4C36A18,9FFAF7BEF73EE1E5B49885EB8608B06A
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,26,525,MALE,1996,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,CIVIL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"LADY WILLINGDON HIGHER SECONDARY SCHOOL,NO.1 DR. BESANT ROA TRIPLICANE,CHENNAI","Nagapattinam,Tamil Nadu","Nagapattinam,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 3/15,NULL,5FB1E5C2D53CEE4EB7CD66141BACD09F,AC8087A3E8F1E990E86634B422CF1105
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,27,524.5,FEMALE,1996,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2012,2014,NULL,NULL,2018,B.TECH.,Information Technology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,7-20 SCHOOL STREET,KOYAMBEDU CHENNAI","Kancheepuram,Tamil Nadu","Kancheepuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 1/2,NULL,3479977CBF4F09F1F45305D2457B7ED2,C7CB6DE91848AEDA2C6F22DB4A5489B3
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,28,524,MALE,1996,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"LADY MCTM GIRLS HIGHER SECONDAY SCHOOL,ALAGAPPA ROAD,PURASWALKAM CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 1/2,NULL,E2439E48D0FFCBB3E30198996BD9A97F,215EE7737700DC957A11844E540FF7B7
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,29,523.25,FEMALE,1993,HINDU,MBC/DC,NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2015,B.Sc.,Agriculture,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,NO.1 PALAVOYAL SALAI,AYANAVARAM CHENNAI","Coimbatore,Tamil Nadu","Coimbatore,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_W- 1/1,NULL,28CC9E65D42B410C858DB3FA187B97B9,569BA930D69D483A61A96DCAFAD76738
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,30,522.75,MALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"JAI GOPAL GARODIA GOVT GIRLS HR.SEC.SCHOOL,CHOOLAIMEDU HIGH ROAD,CHOOLAIMEDU CHENNAI","Dindigul,Tamil Nadu","Dindigul,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 4/15,NULL,F866DA788493974DF703F629C9615ECC,A87AE6DB539405A28C2B614577149450
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,32,522,FEMALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,ELECTRICAL AND ELECTRONICS ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,3 BHARATHIDASAN SALAI,THIRUVANMIYUR CHENNAI","Virudhunagar,Tamil Nadu","Virudhunagar,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 2/2,NULL,57DD1AAADBC3F2A5340BCEFC5F7F55F5,F5B2A60196E9F0148637A0C473798933
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,33,521.5,FEMALE,1996,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI GIRLS HIGHER SECONDARY SCHOOL,PULLA AVENUE SHENOY NAGAR,CHENNAI","Coimbatore,Tamil Nadu","Coimbatore,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_W- 1/1,NULL,B13B21FAB66AE4FD0ACA2BA178C465E8,9DD01382F657C198416D44515BC5F960
