NAME OF THE POST ,RANK(OVER ALL),MARKS ,GENDER,DATE OF BIRTH,RELIGION,COMMUNAL CATEGORY,DISABILITY,EXSERVICEMEN,DW,PSTM,SSLC YOP,HSC YOP,DIPLOMA YOP,DIPLOMA MAJOR,UG DEG YOP,UG DEG,UG MAJOR,UGL DEGEE,UGL MAJOR,BED/BLISC YOP,PG DEGREE YOP,PG DEGREE,PG MAJOR,MPHIL YOP,MPHIL MAJOR,PHD YOP,PHD MAJOR,TWT,TWE,SHT,SHE,EXPERIENCE,PREFERNTIAL QUALIFICATION ,QUALIFICATION PASSED IN TAMIL,EXAM CENTER,EXAM VENUE DETAILS ,DISTRICT AND STATE OF PERMANENT ADDRESS,DISTRICT AND STATE OF CORRESPONDENCE ADDRESS,COMMUNAL RANK,DISABILITY RANK,EXSERVICEMEN RANK ,DW RANK,SELECTION STATUS ,SELECTION CATEGORY,DEPARTMENT ALLOTTED,REGNO,APPLICATION_NO
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,302,478.75,MALE,1991,Hindu,SC,NULL,NULL,NULL,PSTM,2006,2008,NULL,NULL,2015,B.A.,HISTORY,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"KESARI HIGHER SECONDARY SCHOOL,17 THIRU.VI.KA 3RD STREET,MYLAPORE CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G_PSTM- 1/1,NULL,E06B13755A8F2EBECAC182401B26480C,F6F8AF89E5C8652007A252ED6A4BD846
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,309,472,FEMALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,PSTM,2009,2011,NULL,NULL,2018,B.A.,History,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"BETA MATRIC HIGHER SECONDARY SCHOOL,47 & 49 CART TRACK ROAD MADUVINKARAI,GUINDY CHENNAI","Namakkal,Tamil Nadu","Namakkal,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W_PSTM- 2/2,NULL,16E45E4BB64F3652EAB1DA7769378CA1,D357616651DBEEBB535B25996E4CB472
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,310,471.75,MALE,1988,Hindu,SC,NULL,NULL,NULL,PSTM,2003,2005,NULL,NULL,2017,B.LITT.,tamil,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,7-20 SCHOOL STREET,KOYAMBEDU CHENNAI","Kancheepuram,Tamil Nadu","Kancheepuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G_PSTM- 1/1,NULL,DE9AC7CED11CE70D3A468F3F9F4E6954,CAB4FFDED3B042C71D89333AA661BA92
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,312,471,FEMALE,1993,Hindu,BC(OBCM),NULL,NULL,NULL,PSTM,2008,2010,NULL,NULL,2015,B.A.,TAMIL,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVERNMENT GIRLS HIGHER SECONDARY SCHOOL,SIDCO NAGAR,VILLIVAKKAM CHENNAI","Thoothukudi,Tamil Nadu","Thoothukudi,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_W_PSTM- 1/1,NULL,5B2BB9F7D79D7C23A309B5036EF20E6B,F4D56E6030625D788546DC636A1C63E9
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,316,469.75,FEMALE,1989,Hindu,MBC/DC,NULL,NULL,NULL,PSTM,2004,2013,NULL,NULL,2018,B.A.,TAMIL,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"M A K MATRICULATION HIGHER SECONDARY SCHOOL,125-A KABILAR STREETTHIRU NAGAR JAFFERKHAN PET,ASHOK NAGAR CHENNAI","Virudhunagar,Tamil Nadu","Virudhunagar,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_W_PSTM- 1/1,NULL,09725CB290668B6140104FCFC80EE552,C5B40CFA1D733E98419D3676122A5572
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,329,461.5,FEMALE,1992,Hindu,SC,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,Production engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVERNMENT HIGHER SECONDARY SCHOOL,1ST MAIN ROAD,NANDHANAM CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G_ORTHO- 1/1,NULL,121E632F83E8FA55A5C841F96571674F,237C892CA838D44924996DB2E1678B29
THE POST OF DISTRICT REGISTRAR IN THE TAMIL NADU REGISTRATION SERVICE,331,461.25,MALE,1994,Hindu,SC,NULL,NULL,NULL,PSTM,2009,2011,NULL,NULL,2018,B.LITT.,tamil,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,7-20 SCHOOL STREET,KOYAMBEDU CHENNAI","Kancheepuram,Tamil Nadu","Kancheepuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G_PSTM- 1/1,NULL,8CC5422C39860356B466942580BD29AF,375B1C096C6F9479F3FD8627BA5CC7B7
THE POST OF DISTRICT EMPLOYMENT OFFICER IN THE TAMIL NADU GENERAL SERVICE,334,459.5,MALE,1990,Hindu,SC,NULL,NULL,NULL,PSTM,2005,2007,NULL,NULL,2018,B.A.,HISTORY,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,7-20 SCHOOL STREET,KOYAMBEDU CHENNAI","Vellore,Tamil Nadu","Vellore,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G_PSTM- 1/1,NULL,A50303B9463416AF2A27562395030713,6870DC6F71250E9F7723EBA0F9528DF5
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,338,457.25,FEMALE,1986,Hindu,SC,NULL,NULL,NULL,PSTM,2001,2003,NULL,NULL,2006,B.Sc.,chemistry,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2016,M.Sc.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MASKED FOR PRIVACY PROTECTION,NULL,Chennai,"ST JOHNS MATRIC HIGHER SECONDARY SCHOOL,NO.15 NEW COLONY,ALWARTHIRUNAGAR CHENNAI","Thirunelveli,Tamil Nadu","Thirunelveli,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_W_PSTM- 1/1,NULL,4975226916EA630ED66C3C2C5013E5B4,E9DC57E92904B518AEB1F4116375BFD4
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,344,447.5,FEMALE,1985,Hindu,SC,NULL,NULL,NULL,PSTM,2001,2004,NULL,NULL,2011,B.S.M.S,NULL,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI GIRLS HIGHER SECONDARY SCHOOL,2A SCHOOL ROAD M H ROAD,PERAMBUR CHENNAI","Pudukkottai,Tamil Nadu","Pudukkottai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_W_PSTM- 1/1,NULL,8F218B16C275020C5A0B641E14C2B179,186A314C219E4B2CEF09B68ECB69FA9F
THE POST OF DISTRICT EMPLOYMENT OFFICER IN THE TAMIL NADU GENERAL SERVICE,351,430,MALE,1993,Hindu,MBC/DC,LV,NULL,NULL,NULL,2009,2011,NULL,NULL,2016,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"P.S MAIN HIGHER SEC SCHOOL,NO.215 RAMAKRISHNA MUTT ROAD MYLOPORE,CHENNAI","Ariyalur,Tamil Nadu","Ariyalur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G_BLIND- 1/1,NULL,7AD4D01E11E4BB90C8B32CD899DDD0BC,0A06F0D64E9F88E9A789AF77C3D7207B
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,355,411.5,MALE,1994,Hindu,BC(OBCM),LV,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,Mechanical Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SREE VENKATESHWARAR MATRIC HR SEC SCHOOL,15 GOUDIA MUTT ROAD,ROYAPETTAH CHENNAI","Virudhunagar,Tamil Nadu","Virudhunagar,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G_BLIND- 1/1,NULL,4A58C32BBCB83075AF35B884E8FF12C8,DD89527204C395EDC767EE319405D412
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,358,383.75,FEMALE,1992,Hindu,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,PSTM,2007,2009,NULL,NULL,2012,B.Sc.,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2015,M.Sc.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CSI JESSIE MOSES MATRICULATION HR SEC SCHOOL,37-Z183 5TH AVENUE BLUE STAR,ANNANAGAR CHENNAI","Namakkal,Tamil Nadu","Namakkal,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SCA_W_PSTM- 1/1,NULL,DDF5A16E78167428A26F0A662383A58C,A64F1AD84612AA5B8B9D76A0775D5F49
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,360,375.75,FEMALE,1986,Hindu,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,PSTM,2001,2003,NULL,NULL,2017,B.A.,tamil,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"BETHEL MATRIC HIGHER SECONDARY SCHOOL,14A AND 15 VEERASAMY MAIN STREET,AYANAVARAM CHENNAI","Dharmapuri,Tamil Nadu","Dharmapuri,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SCA_W_PSTM- 1/1,NULL,B3E51CE6513CDD27B39E0057FE7404F3,91D7F382B4F403DBD138DF6C395013AD
